6392,4521
1176,777
4164,877
6356,7893
7316,1913
6592,1521
3692,4945
1476,2105
5664,3293
4304,1681
6836,4733
1004,5041
7364,3337
7344,3717
6032,2869
4116,7745
2608,3113
1000,3949
2448,3601
48,3505
5532,4109
7376,3541
68,5061
4648,2133
2544,1633
7560,2041
7096,449
3296,4473
108,173
7840,6901
928,7725
5276,6273
5236,6105
1076,6297
5708,4837
7284,3473
1828,7013
1684,7597
2516,5417
1320,4173
4572,7889
3020,2085
4424,6853
7800,4177
1436,1593
484,4953
6104,1937
0,3901
584,1429
5312,5617
1968,6949
6720,6873
2364,1621
1392,2781
1376,7669
664,4205
3460,6453
7756,1133
7572,3641
1116,7701
5952,849
7424,1469
5616,1517
2992,3281
4568,3509
7832,6661
5860,3533
844,2489
236,4161
8128,1261
64,7229
2368,3849
388,6725
1796,5757
3268,4025
3560,1041
164,6149
2660,2329
4824,1941
3228,7709
4588,593
3608,889
5364,7193
2732,1373
1288,6261
4056,3669
4184,413
3300,7921
1296,5949
2288,3017
3924,605
5904,6385
3940,1165
8148,4089
5184,4485
496,2789
3236,4505
1032,4429
932,2293
1720,217
5968,4425
7464,2905
1844,5789
3896,8157
1652,6033
6912,6685
2476,3241
1224,209
2940,7661
5332,2765
3276,1797
2300,5129
2016,4329
6560,4713
4148,101
6888,169
784,8149
8172,3285
5484,6569
3056,3377
7948,861
3556,2901
6712,6237
5832,6529
912,177
2388,3189
5900,6829
2356,7729
528,1317
3676,4137
896,1493
7272,5205
1692,3445
1572,7645
1988,2149
208,809
7620,1713
6156,4405
1132,2685
5076,7125
7012,4613
6928,6737
984,2017
7228,8041
1340,1297
7628,7261
6916,4509
7584,3549
4196,1329
4512,1249
100,845
8060,4433
4336,3861
7824,5049
1644,6813
1056,6697
4244,3449
1960,5873
3952,4829
2348,2509
2252,5581
7472,6421
6420,6157
4276,4601
3168,6869
3220,6925
4700,3141
1800,2013
2332,2277
4744,89
8008,3829
4936,3369
3508,821
3944,921
1560,5229
4608,533
7600,353
6096,2797
3044,337
2532,1613
7160,6889
2540,2845
6596,3309
516,7493
4788,573
4328,4189
2360,773
4712,3165
4960,1213
316,1449
2000,3197
2276,6517
7552,7553
4540,5437
3744,3089
3840,6197
7132,7285
7880,3413
2572,1573
4032,1229
6628,7297
2232,5705
5852,2981
1732,4393
7196,4397
116,5889
5244,6773
3888,6709
1976,6957
6044,6573
2808,2929
6272,6701
2144,7213
2108,6745
3432,7073
264,977
6332,7881
6544,2381
3036,5433
5320,7529
588,7461
512,3693
7092,5361
2684,1461
3644,4777
7904,1241
352,1501
3968,5997
4596,2597
2236,7133
7596,7333
2752,7165
2272,1357
6856,7137
324,7677
3400,4021
1332,5065
1180,3561
7152,1353
4876,1893
2920,1933
3836,2529
5792,233
1516,5733
7072,3033
1508,197
2536,2933
3684,4157
3672,269
580,3697
6820,5013
4192,585
596,709
4464,825
4216,2469
1804,2569
4748,7533
7772,5809
3980,6049
2872,1269
4068,6557
7124,6129
1220,7121
1740,6877
2792,1957
6008,3297
4280,1861
5652,1837
6696,5781
4480,7673
6296,4609
4004,2829
600,7201
2100,6997
5940,2321
8028,3785
4264,1765
6804,1689
908,949
2384,7249
1380,2633
4912,1253
1396,4385
4792,5353
2904,5885
4176,7793
4852,3869
5680,2425
7016,5385
7168,6169
2440,69
20,7057
5344,3465
6692,2413
6976,5657
7776,565
1744,5237
2156,7477
1208,1273
504,3217
3748,6277
1468,3793
1928,6329
6988,2877
1152,1741
1664,785
6688,5441
4632,1285
6884,929
1256,5741
4676,8033
4468,4517
7048,3805
7956,5737
5936,3485
5292,2757
2424,6789
4236,7485
480,4085
1792,4745
724,2445
3520,3617
2056,4241
2208,7081
5836,1853
7792,2401
5004,4413
5252,6649
6816,477
3620,4029
3700,941
4752,6017
3936,4093
7244,6409
3496,4729
3144,7321
5056,7185
6740,2217
308,2953
3100,373
688,1949
5352,5545
4408,7549
6700,333
88,993
5240,5097
24,6433
6788,6345
7616,2005
1912,7317
760,5805
6004,6041
3304,509
3600,3593
1200,1873
2372,1785
3484,1465
4872,1205
4580,5053
2404,5969
4172,5317
5096,4621
2580,6757
1812,721
5148,7845
4592,2053
6672,1653
5416,6965
7064,3261
1924,2157
7336,7257
7740,513
328,4549
3524,5485
3648,5861
4832,2345
7920,6265
6036,1057
6316,6473
4084,4773
3252,5505
3272,5001
5124,7305
8124,3009
6632,1657
5648,4181
3292,297
3048,6525
4984,3677
6440,8117
5028,2613
3032,3893
1364,6073
40,465
3028,677
4976,3981
3000,7501
6436,5549
1348,2297
8152,6253
4312,7469
6456,7393
428,5029
6224,7805
5716,4797
4156,1897
2780,3977
6784,5513
7908,4901
7108,5469
4288,7265
3016,85
1108,5293
6308,4409
4680,4169
3992,2249
6516,5329
5784,969
6824,6733
6936,8021
672,4965
3656,1121
2892,7293
1148,7209
3064,5253
544,289
5040,3741
6188,2265
7944,6109
1124,401
1344,6497
340,2145
6776,953
4000,137
3384,7849
568,29
2912,2361
812,2625
8052,7401
7420,2577
1096,3681
2584,4305
5580,7829
284,5125
7380,7497
872,6441
4660,7097
4612,4465
4816,1761
4760,13
5500,5821
2168,3685
2836,8001
60,7217
904,2721
3716,5729
5824,6221
2136,1845
4220,3517
1580,2657
1324,6941
6076,7657
5316,6561
296,1277
2428,473
7676,6365
8068,3889
4360,7765
7408,7377
1248,7817
5740,2873
5572,2833
1972,3305
7544,5993
1432,5197
464,301
2340,3737
3116,1541
176,7981
3728,469
376,4317
5908,1833
4420,3437
6600,2913
2148,5593
2616,1141
4,3349
3024,1725
1588,1569
1840,8093
2840,3461
6652,3765
824,265
2612,529
7460,5921
5336,5957
4016,4641
7216,6145
6932,5677
5700,3233
5956,6337
3908,5461
1420,3709
7768,3553
2980,6065
1216,5285
7784,6645
2188,4561
2816,2669
3948,3037
5308,7141
6828,2185
3932,1009
3140,2853
3688,457
5228,5869
7788,3149
4392,557
6196,7989
752,2077
1724,3721
1328,5101
2464,1453
2224,1237
7444,965
3596,4125
1276,625
6288,3757
8160,249
7100,3137
2116,421
3788,2341
5384,6537
7860,6177
7392,7821
2740,7109
2728,4629
3388,745
5488,3397
7488,2609
4840,5965
3844,501
7176,8077
476,6817
4536,8181
5720,5745
5372,5853
2004,1257
